listings code,lookup name,index name
OPM,1PM,1PM PLC
SPA,1SPATIAL,1SPATIAL PLC
III,3I GROUP,3I GROUP PLC
3IN,3I INFRASTRUCTURE,3I INFRASTRUCTURE PLC
DDDD,4D PHARMA,4D PHARMA PLC
FOUR,4IMPRINT GROUP,4IMPRINT GROUP PLC
SIXH,600 GROUP,600 GROUP PLC
7DIG,7DIGITAL GROUP,7DIGITAL GROUP PLC
88E,88 ENERGY LIMITED,888 HOLDINGS PLC
888,888 HOLDING,88 ENERGY LIMITED
AA.,AA,AA PLC
80JT,"AB ""IGNITIS GRUPE""",#N/A
IGN,"AB ""IGNITIS GRUPE""",#N/A
ABDP,AB DYNAMICS,ABBEY PLC
ABBY,ABBEY,ABCAM PLC
ABC,ABCAM,AB DYNAMICS PLC
AAIF,ABERDEEN ASIAN INCOME FUND LIMITED,ABERDEEN ASIAN INCOME FUND LTD
ADIG,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC
AEMC,ABERDEEN EMERGING MARKETS INVESTMENT COMPANY,ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED
AJIT,ABERDEEN JAPAN INVESTMENT TRUST,ABERDEEN JAPAN INVESTMENT TRUST PLC
ALAI,ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,ABERDEEN LATIN AMERICAN INCOME FUND LIMITED
ABD,ABERDEEN NEW DAWN INVESTMENT TRUST,ABERDEEN NEW DAWN INVESTMENT TRUST PLC
ANII,ABERDEEN NEW INDIA INVESTMENT TRUST,ABERDEEN NEW INDIA INVESTMENT TRUST PLC
ANW,ABERDEEN NEW THAI INVESTMENT TRUST,ABERDEEN NEW THAI INVESTMENT TRUST PLC
ASCI,ABERDEEN SMALLER COMPANIES INCOME TRUST,ABERDEEN SMALLER COMPANIES INCOME TRUST PLC
AAS,ABERDEEN STANDARD ASIA FOCUS,ABERDEEN STANDARD ASIA FOCUS PLC
ASEI,ABERDEEN STANDARD EQUITY INCOME TRUST,ABERDEEN STANDARD EQUITY INCOME TRUST PLC
ASLI,ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME,ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC
ASL,ABERFORTH SMALLER COMPANIES TRUST,ABERFORTH SMALLER COMPANIES TRUST PLC
ASIT,ABERFORTH SPLIT LEVEL INCOME TRUST,ABERFORTH SPLIT LEVEL INCOME TRUST PLC
ASIZ,ABERFORTH SPLIT LEVEL INCOME TRUST,ABERFORTH SPLIT LEVEL INCOME TRUST PLC
ACC,ACCESS INTELLIGENCE,ACCESS INTELLIGENCE PLC
ACSO,ACCESSO TECHNOLOGY GROUP,ACCESSO TECHNOLOGY GROUP PLC
ACRL,ACCROL GROUP HOLDING,ACCROL GROUP HOLDINGS PLC
AXS,ACCSYS TECHNOLOGIES,ACCSYS TECHNOLOGIES PLC
ACIA,ACER INCORPORATION,ACER INCORPORATED
ACID,ACER INCORPORATION,ACER INCORPORATED
AIF,ACORN INCOME FUND LIMITED,ACORN INCOME FUND LD
AIFZ,ACORN INCOME FUND LIMITED,ACORN INCOME FUND LD
AEG,ACTIVE ENERGY GROUP,ACTIVE ENERGY GROUP PLC
ACT,ACTUAL EXPERIENCE,ACTUAL EXPERIENCE PLC
ADAM,ADAMAS FINANCE ASIA LIMITED,ADAMAS FINANCE ASIA LIMITED
ADA,ADAMS,ADAMS PLC
ADT,ADEPT TECHNOLOGY GROUP,ADEPT TECHNOLOGY GROUP PLC
ADES,ADES INTERNATIONAL HOLDING,ADES INTERNATIONAL HOLDING PLC
ADME,ADM ENERGY,ADM ENERGY PLC
ADM,ADMIRAL GROUP,ADMIRAL GROUP PLC
ADT1,ADRIATIC METALS,ADRIATIC METALS PLC
ADV,ADVANCE ENERGY,ADVANCED MEDICAL SOLUTIONS GROUP PLC
AMS,ADVANCED MEDICAL SOLUTIONS GROUP,ADVANCED ONCOTHERAPY PLC
AVO,ADVANCED ONCOTHERAPY,ADVANCE ENERGY PLC
AFN,ADVFN,ADVFN PLC
87FZ,AECI LIMITED,AECI LD
AEO,AEOREMA COMMUNICATIONS,AEOREMA COMMUNICATIONS PLC
AEWU,AEW UK REIT,AEW UK REIT PLC
AEXG,AEX GOLD INCOME,AEX GOLD INC.
AFRK,AFARAK GROUP,AFARAK GROUP PLC
AFC,AFC ENERGY,AFC ENERGY PLC
AFHP,AFH FINANCIAL GROUP,AFH FINANCIAL GROUP PLC
AOF,AFRICA OPPORTUNITY FUND LIMITED,AFRICA OPPORTUNITY FUND LIMITED
ATM,AFRITIN MINING LIMITED,AFRITIN MINING LIMITED
AGK,AGGREKO,AGGREKO PLC
AGTA,AGRITERRA LIMITED,AGRITERRA LD
ANIC,AGRONOMICS LIMITED,AGRONOMICS LIMITED
AIBG,AIB GROUP,AIB GROUP PLC
AIQ,AIQ LIMITED,AIQ LIMITED
AIRC,AIR CHINA LIMITED,AIR CHINA LD
AIR,AIR PARTNER,AIREA PLC
AIEA,AIREA,AIR PARTNER PLC
AAF,AIRTEL AFRICA,AIRTEL AFRICA PLC
AJB,AJ BELL,AJ BELL PLC
ALBA,ALBA MINERAL RESOURCES,ALBA MINERAL RESOURCES PLC
AADV,ALBION DEVELOPMENT VCT,ALBION DEVELOPMENT VCT PLC
AAEV,ALBION ENTERPRISE VCT,ALBION ENTERPRISE VCT PLC
AATG,ALBION TECHNOLOGY AND GENERAL VCT,ALBION TECHNOLOGY & GENERAL VCT PLC
AAVC,ALBION VENTURE CAPITAL TRUST,ALBION VENTURE CAPITAL TST PLC
32UA,ALEXANDRIA MINERAL OILS COMPANY,ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.
AMOC,ALEXANDRIA MINERAL OILS COMPANY,ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.
ALFA,ALFA FINANCIAL SOFTWARE HOLDING,ALFA FINANCIAL SOFTWARE HOLDINGS PLC
UFO,ALIEN METALS LIMITED,ALIEN METALS LIMITED
AAA,ALL ACTIVE ASSET CAPITAL LIMITED,ALL ACTIVE ASSET CAPITAL LIMITED
AGY,ALLERGY THERAPEUTICS,ALLERGY THERAPEUTICS PLC
APH,ALLIANCE PHARMA,ALLIANCE PHARMA PLC
ATST,ALLIANCE TRUST,ALLIANCE TRUST PLC
ATT,ALLIANZ TECHNOLOGY TRUST,ALLIANZ TECHNOLOGY TRUST PLC
ALM,ALLIED MINDS,ALLIED MINDS PLC
AFM,ALPHA FINANCIAL MARKETS CONSULTING,ALPHA FINANCIAL MARKETS CONSULTING PLC
AFX,ALPHA FX GROUP,ALPHA FX GROUP PLC
ALGW,ALPHA GROWTH,ALPHA GROWTH PLC
ARTL,ALPHA REAL TRUST LIMITED,ALPHA REAL TRUST LIMITED
ACI,ALTERNATIVE INCOME REIT,ALTERNATIVE INCOME REIT PLC
AIRE,ALTERNATIVE INCOME REIT,ALTERNATIVE INCOME REIT PLC
ALF,ALTERNATIVE LIQUIDITY FUND LIMITED,ALTERNATIVE LIQUIDITY FUND LIMITED
ALT,ALTITUDE GROUP,ALTITUDE GROUP PLC
ALS,ALTUS STRATEGIES,ALTUS STRATEGIES PLC
ALTN,ALTYN,ALTYN PLC
ALU,ALUMASC GROUP,ALUMASC GROUP PLC
78QZ,ALUMINIUM BAHRAIN,ALUMINIUM BAHRAIN B.S.C.
ALBH,ALUMINIUM BAHRAIN,ALUMINIUM BAHRAIN B.S.C.
AMAT,AMATI AIM VCT,AMATI AIM VCT PLC
AA4,AMEDEO AIR FOUR PLUS LIMITED,AMEDEO AIR FOUR PLUS LIMITED
87SD,AMER GROUP HOLDING COMPANY,AMER GROUP HOLDING COMPANY S.A.E
AMGR,AMER GROUP HOLDING COMPANY,AMER GROUP HOLDING COMPANY S.A.E
AFS,AMIAD WATER SYSTEMS LIMITED,AMIAD WATER SYSTEMS LTD
AMGO,AMIGO HOLDING,AMIGO HOLDINGS PLC
AEX,AMINEX,AMINEX PLC
AMO,AMINO TECHNOLOGIES,AMINO TECHNOLOGIES PLC
AMYT,AMRYT PHARMA,AMRYT PHARMA PLC
AMC,AMUR MINERALS CORPORATION,AMUR MINERALS CORPORATION
ANAA,ANA HOLDING INCOME,ANA HOLDINGS INC.
ASY,ANDREWS SYKES GROUP,ANDREWS SYKES GROUP PLC
AMOI,ANEMOI INTERNATIONAL LIMITED,#N/A
ANX,ANEXO GROUP,ANEXO GROUP PLC
AGL,ANGLE,ANGLE PLC
AYM,ANGLESEY MINING,ANGLESEY MINING PLC
ANG,ANGLING DIRECT,ANGLING DIRECT PLC
AAAP,ANGLO AFRICAN AGRICULTURE,ANGLO AFRICAN AGRICULTURE PLC
AAOG,ANGLO AFRICAN OIL AND GAS,ANGLO AFRICAN OIL & GAS PLC
AAL,ANGLO AMERICAN,ANGLO AMERICAN PLC
AAZ,ANGLO ASIAN MINING,ANGLO ASIAN MINING PLC
APF,ANGLO PACIFIC GROUP,ANGLO-EASTERN PLANTATIONS PLC
AEP,ANGLO-EASTERN PLANTATIONS,ANGLO PACIFIC GROUP PLC
ANGS,ANGUS ENERGY,ANGUS ENERGY PLC
ANCR,ANIMALCARE GROUP,ANIMALCARE GROUP PLC
ANP,ANPARIO,ANPARIO PLC
70GD,ANTOFAGASTA,ANTOFAGASTA PLC
ANTO,ANTOFAGASTA,ANTOFAGASTA PLC
AO.,AO WORLD,AO WORLD PLC
APAX,APAX GLOBAL ALPHA LIMITED,APAX GLOBAL ALPHA LIMITED
APGN,APPLEGREEN,APPLEGREEN PLC
AGM,APPLIED GRAPHENE MATERIALS,APPLIED GRAPHENE MATERIALS PLC
APP,APPRECIATE GROUP,APPRECIATE GROUP PLC
APQ,APQ GLOBAL LIMITED,APQ GLOBAL LIMITED
APTD,APTITUDE SOFTWARE GROUP,APTITUDE SOFTWARE GROUP PLC
AERI,AQUILA EUROPEAN RENEWABLES INCOME FUND,AQUILA EUROPEAN RENEWABLES INCOME FUND PLC
AERS,AQUILA EUROPEAN RENEWABLES INCOME FUND,AQUILA EUROPEAN RENEWABLES INCOME FUND PLC
AQSG,AQUILA SERVICES GROUP,AQUILA SERVICES GROUP PLC
AQX,AQUIS EXCHANGE,AQUIS EXCHANGE PLC
43DK,ARABIAN FOOD INDUSTRIES COMPANY,ARABIAN FOOD INDUSTRIES COMPANY DOMTY S.A.E.
DOMT,ARABIAN FOOD INDUSTRIES COMPANY,ARABIAN FOOD INDUSTRIES COMPANY DOMTY S.A.E.
ARBB,ARBUTHNOT BANKING GROUP,ARBUTHNOT BANKING GROUP PLC
ARCM,ARC MINERALS LIMITED,ARC MINERALS LIMITED
ARC,ARCONTECH GROUP,ARCONTECH GROUP PLC
ARDN,ARDEN PARTNERS,ARDEN PARTNERS PLC
ARE,ARENA EVENTS GROUP,ARENA EVENTS GROUP PLC
AGFX,ARGENTEX GROUP,ARGENTEX GROUP PLC
ARB,ARGO BLOCKCHAIN,ARGO BLOCKCHAIN PLC
ARGO,ARGO GROUP LIMITED,ARGO GROUP LIMITED
ARG,ARGOS RESOURCES LIMITED,ARGOS RESOURCES LIMITED
AAU,ARIANA RESOURCES,ARIANA RESOURCES PLC
ARIX,ARIX BIOSCIENCE,ARIX BIOSCIENCE PLC
ARK,ARKLE RESOURCES,ARKLE RESOURCES PLC
ACP,ARMADALE CAPITAL,ARMADALE CAPITAL PLC
ARO,ARRICANO REAL ESTATE,ARRICANO REAL ESTATE PLC
ARW,ARROW GLOBAL GROUP,ARROW GLOBAL GROUP PLC
ATS,ARTEMIS ALPHA TRUST,ARTEMIS ALPHA TRUST PLC
ASAI,ASA INTERNATIONAL GROUP,ASA INTERNATIONAL GROUP PLC
AST,ASCENT RESOURCES,ASCENTIAL PLC
ASCL,ASCENTIAL,ASCENT RESOURCES PLC
ASPL,ASEANA PROPERTIES LIMITED,ASEANA PROPERTIES LIMITED
ASH,ASHLEY HOUSE,ASHLEY HOUSE PLC
ASHM,ASHMORE GROUP,ASHMORE GROUP PLC
AIE,ASHOKA INDIA EQUITY INVESTMENT TRUST,ASHOKA INDIA EQUITY INVESTMENT TRUST PLC
BC24,ASHPOL,ASHPOL PLC
AHT,ASHTEAD GROUP,ASHTEAD GROUP PLC
ASCD,ASIA CEMENT CORPORATION,ASIA CEMENT CORPORATION
DGN,ASIA DRAGON TRUST,ASIA DRAGON TRUST PLC
ARS,ASIAMET RESOURCES LIMITED,ASIAMET RESOURCES LIMITED
ASLR,ASIMILAR GROUP,ASIMILAR GROUP PLC
ASC,ASOS,ASOS PLC
ASTO,ASSETCO,ASSETCO PLC
ASBE,ASSOCIATED BRITISH ENGINEERING,ASSOCIATED BRITISH ENGINEERING PLC
ABF,ASSOCIATED BRITISH FOODS,ASSOCIATED BRITISH FOODS PLC
AGR,ASSURA,ASSURA PLC
AML,ASTON MARTIN LAGONDA GLOBAL HOLDING,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC
AZN,ASTRAZENECA,ASTRAZENECA PLC
ATYM,ATALAYA MINING,ATALAYA MINING PLC
ATY,ATHELNEY TRUST,ATHELNEY TRUST PLC
AJG,ATLANTIS JAPAN GROWTH FUND LIMITED,ATLANTIS JAPAN GROWTH FUND LD
ATMA,ATLAS MARA LIMITED,ATLAS MARA LIMITED
AOGL,ATTIS OIL AND GAS LIMITED,ATTIS OIL AND GAS LTD
ATQT,ATTRAQT GROUP,ATTRAQT GROUP PLC
AUCT,AUCTUS GROWTH,AUCTUS GROWTH PLC
BOOM,AUDIOBOOM GROUP,AUDIOBOOM GROUP PLC
AUG,AUGEAN,AUGEAN PLC
AUGM,AUGMENTUM FINTECH,AUGMENTUM FINTECH PLC
AUK,AUKETT SWANKE GROUP,AUKETT SWANKE GROUP PLC
AURA,AURA ENERGY LIMITED,AURA ENERGY LIMITED
ARR,AURORA INVESTMENT TRUST,AURORA INVESTMENT TRUST PLC
AUTG,AUTINS GROUP,AUTINS GROUP PLC
AUTO,AUTO TRADER GROUP,AUTO TRADER GROUP PLC
AVCT,AVACTA GROUP,AVACTA GROUP PLC
AVGR,AVANGARDCO INVESTMENTS PUBLIC LIMITED,AVANGARDCO INVESTMENTS PUBLIC LIMITED
AVST,AVAST,AVAST PLC
AVAP,AVATION,AVATION PLC
AVV,AVEVA GROUP,AVEVA GROUP PLC
AGT,AVI GLOBAL TRUST,AVI GLOBAL TRUST PLC
AJOT,AVI JAPAN OPPORTUNITY TRUST,AVI JAPAN OPPORTUNITY TRUST PLC
AVG,AVINGTRANS,AVINGTRANS PLC
AV.A,AVIVA,AVIVA PLC
AV.B,AVIVA,AVIVA PLC
AV.,AVIVA,AVIVA PLC
AVON,AVON RUBBER,AVON RUBBER PLC
AXI,AXIOM EUROPEAN FINANCIAL DEBT FUND LIMITED,AXIOM EUROPEAN FINANCIAL DEBT FUND LIMITED
AXB,AXIS BANK LIMITED,AXIS BANK LIMITED
AXBA,AXIS BANK LIMITED,AXIS BANK LIMITED
BME,BANDM EUROPEAN VALUE RETAIL S.A.,B90 HOLDINGS PLC
BPM,B.P. MARSH AND PARTNERS,BABCOCK INTERNATIONAL GROUP PLC
BSD,B.S.D CROWN LIMITED,BACANORA LITHIUM PLC
B90,B90 HOLDING,BAE SYSTEMS PLC
BAB,BABCOCK INTERNATIONAL GROUP,BAHAMAS PETROLEUM COMPANY PLC
BCN,BACANORA LITHIUM,BAILLIE GIFFORD EUROPEAN GROWTH TRUST PLC
BA.,BAE SYSTEMS,BAILLIE GIFFORD JAPAN TRUST PLC
BPC,BAHAMAS PETROLEUM COMPANY,BAILLIE GIFFORD SHIN NIPPON PLC
BGCG,BAILLIE GIFFORD US GROWTH TRUST,BALFOUR BEATTY PLC
BGEU,BAILLIE GIFFORD EUROPEAN GROWTH TRUST,BAILLIE GIFFORD UK GROWTH FUND PLC
BGFD,BAILLIE GIFFORD JAPAN TRUST,BAILLIE GIFFORD US GROWTH TRUST PLC
BGS,BAILLIE GIFFORD SHIN NIPPON,BAKER STEEL RESOURCES TRUST LIMITED
BGUK,BAILLIE GIFFORD UK GROWTH FUND,BAKKAVOR GROUP PLC
USA,BAILLIE GIFFORD US GROWTH TRUST,BALFOUR BEATTY PLC
BSRT,BAKER STEEL RESOURCES TRUST LIMITED,BANCO BILBAO VIZCAYA ARGENTARIA S.A.
BAKK,BAKKAVOR GROUP,BANCO SANTANDER S.A.
BBY,BALFOUR BEATTY,BANGO PLC
BVA,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,BANK AUDI S.A.L.
BNC,BANCO SANTANDER S.A.,BANKERS INVESTMENT TRUST PLC
BGO,BANGO,BANKMUSCAT (S.A.O.G.)
BOCH,BANK OF CYPRUS HOLDING,BANK OF GEORGIA GROUP PLC
BGEO,BANK OF GEORGIA GROUP,BANK OF IRELAND (GOVERNOR & COMPANY OF THE)
BIRG,BANK OF IRELAND GROUP,BANK PEKAO SA
BKIC,BANK OF IRELAND (GOVERNOR AND COMPANY OF THE),BANK OF IRELAND GROUP PLC
BKIE,BANK OF IRELAND (GOVERNOR AND COMPANY OF THE),BANK OF IRELAND GROUP PLC
85PL,BANK PEKAO SA,BARCLAYS PLC
BPKD,BANK PEKAO SA,BARCLAYS PLC
BNKR,BANKERS INVESTMENT TRUST,BARING EMERGING EUROPE PLC
BKMA,BANKMUSCAT (S.A.O.G.),BARLOWORLD LD
BKM,BANKMUSCAT (S.A.O.G.),BARLOWORLD LD
BARC,BARCLAYS,BARON OIL PLC
BEMO,BARING EMERGING EUROPE,BARONSMEAD SECOND VENTURE TRUST PLC
BWO,BARLOWORLD LIMITED,BARONSMEAD VENTURE TRUST PLC
BOIL,BARON OIL,BARR (A.G.) PLC
BMD,BARONSMEAD SECOND VENTURE TRUST,BARRATT DEVELOPMENTS PLC
BVT,BARONSMEAD VENTURE TRUST,BASE RESOURCES LIMITED
BAG,BARR (A.G.),BASKERVILLE CAPITAL PLC
BDEV,BARRATT DEVELOPMENTS,BATM ADVANCED COMMUNICATIONS LD
BSE,BASE RESOURCES LIMITED,BBGI SICAV S.A.
BASK,BASKERVILLE CAPITAL,BB HEALTHCARE TRUST PLC
BVC,BATM ADVANCED COMMUNICATIONS LIMITED,BBVA CAPITAL FUNDING LD
BBH,BB HEALTHCARE TRUST,BEAZLEY PLC
BBGI,BBGI SICAV S.A.,BEEKS FINANCIAL CLOUD GROUP PLC
77GD,BBVA CAPITAL FUNDING LIMITED,BEGBIES TRAYNOR GROUP PLC
BEZ,BEAZLEY,BELLWAY PLC
BKS,BEEKS FINANCIAL CLOUD GROUP,BELVOIR GROUP PLC
BEG,BEGBIES TRAYNOR GROUP,BENCHMARK HOLDINGS PLC
BWY,BELLWAY,BEOWULF MINING PLC
BLV,BELVOIR GROUP,BERKELEY ENERGIA LIMITED
BMK,BENCHMARK HOLDING,BERKELEY GROUP HOLDINGS (THE) PLC
BEM,BEOWULF MINING,BERMELE PLC
BKY,BERKELEY ENERGIA LIMITED,BEST OF THE BEST PLC
BKG,BERKELEY GROUP HOLDING (THE),BEXIMCO PHARMACEUTICALS LIMITED
BERM,BERMELE,BEZANT RESOURCES PLC
BOTB,BEST OF THE BEST,BH GLOBAL LIMITED
BXP,BEXIMCO PHARMACEUTICALS LIMITED,BH MACRO LIMITED
BZT,BEZANT RESOURCES,BHP GROUP PLC
BHGG,BH GLOBAL LIMITED,BIDSTACK GROUP PLC
BHGU,BH GLOBAL LIMITED,BIDSTACK GROUP PLC
BHMG,BH MACRO LIMITED,BIFFA PLC
BHMU,BH MACRO LIMITED,BIFFA PLC
BHP,BHP GROUP,BIGBLU BROADBAND PLC
BIDS,BIDSTACK GROUP,BIGDISH PLC
BIFF,BIFFA,BIG YELLOW GROUP PLC
BYG,BIG YELLOW GROUP,BILBY PLC
BBB,BIGBLU BROADBAND,BILLINGTON HOLDINGS PLC
DISH,BIGDISH,BIOME TECHNOLOGIES PLC
BILB,BILBY,BION PLC
BILN,BILLINGTON HOLDING,BIOPHARMA CREDIT PLC
BIOM,BIOME TECHNOLOGIES,BIOTECH GROWTH TRUST (THE) PLC
BION,BION,BIOVENTIX PLC
BPCR,BIOPHARMA CREDIT,BISICHI PLC
BIOG,BIOTECH GROWTH TRUST (THE),BLACKBIRD PLC
BVXP,BIOVENTIX,BLACKFINCH SPRING VCT PLC
BISI,BISICHI,BLACKROCK ENERGY AND RESOURCES INCOME TRUST PLC
BIRD,BLACKBIRD,BLACKROCK FRONTIERS INVESTMENT TRUST PLC
BFSP,BLACKFINCH SPRING VCT,BLACKROCK GREATER EUROPE INVESTMENT TRUST PLC
BERI,BLACKROCK ENERGY AND RESOURCES INCOME TRUST,BLACKROCK INCOME AND GROWTH INVESTMENT TRUST PLC
BRFI,BLACKROCK FRONTIERS INVESTMENT TRUST,BLACKROCK LATIN AMERICAN INVESTMENT TRUST PLC
BRGE,BLACKROCK GREATER EUROPE INVESTMENT TRUST,BLACKROCK NORTH AMERICAN INCOME TRUST PLC
BRIG,BLACKROCK INCOME AND GROWTH INVESTMENT TRUST,BLACKROCK SMALLER CO TRUST PLC
BRLA,BLACKROCK LATIN AMERICAN INVESTMENT TRUST,BLACKROCK THROGMORTON TRUST PLC
BRNA,BLACKROCK NORTH AMERICAN INCOME TRUST,BLACKROCK WORLD MINING TRUST PLC
BRSC,BLACKROCK SMALLER COMPANIES TRUST,BLACKSTONE / GSO LOAN FINANCING LIMITED
THRG,BLACKROCK THROGMORTON TRUST,BLANCCO TECHNOLOGY GROUP PLC
BRWM,BLACKROCK WORLD MINING TRUST,BLENCOWE RESOURCES PLC
BGLF,BLACKSTONE / GSO LOAN FINANCING LIMITED,BLOCK ENERGY PLC
BGLP,BLACKSTONE / GSO LOAN FINANCING LIMITED,BLOCK ENERGY PLC
BLTG,BLANCCO TECHNOLOGY GROUP,BLOM BANK SAL
BRES,BLENCOWE RESOURCES,BLOOMSBURY PUBLISHING PLC
BLOE,BLOCK ENERGY,BLUEBIRD MERCHANT VENTURES LTD
BLBD,BLOM BANK SAL,BLUEFIELD SOLAR INCOME FUND LIMITED
BMY,BLOOMSBURY PUBLISHING,BLUEJAY MINING PLC
BPFU,BLUE PLANET FINANCIALS GROWTH AND INCOME INVESTMENT TRUST,BLUE PLANET FINANCIALS GROWTH AND INCOME INVESTMENT TRUST PLC
BLP,BLUE PLANET INVESTMENT TRUST,BLUE PLANET INVESTMENT TRUST PLC
PRSM,BLUE PRISM GROUP,BLUE PRISM GROUP PLC
BLU,BLUE STAR CAPITAL,BLUEROCK DIAMONDS PLC
BMV,BLUEBIRD MERCHANT VENTURES LIMITED,BLUE STAR CAPITAL PLC
BSIF,BLUEFIELD SOLAR INCOME FUND LIMITED,B&M EUROPEAN VALUE RETAIL S.A.
JAY,BLUEJAY MINING,BMO CAPITAL & INCOME INVESTMENT TRUST PLC
BRD,BLUEROCK DIAMONDS,BMO COMMERCIAL PROPERTY TRUST LIMITED
BCI,BMO CAPITAL AND INCOME INVESTMENT TRUST,BMO GLOBAL SMALLER COMPANIES PLC
BCPT,BMO COMMERCIAL PROPERTY TRUST LIMITED,BMO MANAGED PORTFOLIO TRUST PLC
BGSC,BMO GLOBAL SMALLER COMPANIES,BMO PRIVATE EQUITY TRUST PLC
BMPG,BMO MANAGED PORTFOLIO TRUST,BMO REAL ESTATE INVESTMENTS LIMITED
BMPI,BMO MANAGED PORTFOLIO TRUST,BMO REAL ESTATE INVESTMENTS LIMITED
BPET,BMO PRIVATE EQUITY TRUST,BMO UK HIGH INCOME TRUST PLC
BREI,BMO REAL ESTATE INVESTMENTS LIMITED,BODYCOTE PLC
BHIB,BMO UK HIGH INCOME TRUST,BOEING CO.
BHI,BMO UK HIGH INCOME TRUST,BOEING CO.
BHIU,BMO UK HIGH INCOME TRUST,BOEING CO.
BOY,BODYCOTE,"BOKU, INC."
BOE,BOEING CO,BONHILL GROUP PLC
BOKU,"BOKU, INCOME",BOOHOO GROUP PLC
BONH,BONHILL GROUP,BOOT (HENRY) PLC
BOO,BOOHOO GROUP,BORDERS & SOUTHERN PETROLEUM PLC
BD82,BOOT (HENRY),BOSTON INTERNATIONAL HOLDINGS PLC
BOOT,BOOT (HENRY),BOSTON INTERNATIONAL HOLDINGS PLC
BOR,BORDERS AND SOUTHERN PETROLEUM,BOTSWANA DIAMONDS PLC
BIH,BOSTON INTERNATIONAL HOLDING,BOUSSARD & GAVAUDAN HOLDING LIMITED
BOD,BOTSWANA DIAMONDS,BOWLEVEN PLC
BGHL,BOUSSARD AND GAVAUDAN HOLDING LIMITED,B.P. MARSH & PARTNERS PLC
BGHS,BOUSSARD AND GAVAUDAN HOLDING LIMITED,B.P. MARSH & PARTNERS PLC
BLVN,BOWLEVEN,BP PLC
BP.,BP,BRAEMAR SHIPPING SERVICES PLC
BP.A,BP,BRAEMAR SHIPPING SERVICES PLC
BP.B,BP,BRAEMAR SHIPPING SERVICES PLC
BMS,BRAEMAR SHIPPING SERVICES,BRAIME GROUP PLC
BMT,BRAIME GROUP,BRAND ARCHITEKTS GROUP PLC
BMTO,BRAIME GROUP,BRAND ARCHITEKTS GROUP PLC
BAR,BRAND ARCHITEKTS GROUP,BRAVE BISON GROUP PLC
BBSN,BRAVE BISON GROUP,BRAVEHEART INVESTMENT GROUP PLC
BRH,BRAVEHEART INVESTMENT GROUP,BREEDON GROUP PLC
BREE,BREEDON GROUP,BREWIN DOLPHIN HOLDINGS PLC
BRW,BREWIN DOLPHIN HOLDING,BRICKABILITY GROUP PLC
BRCK,BRICKABILITY GROUP,BRIGHTON PIER GROUP PLC (THE)
PIER,BRIGHTON PIER GROUP,BRISTOL WATER PLC
BWSA,BRISTOL AND WEST,BRISTOL & WEST PLC
BWRA,BRISTOL WATER,BRITISH & AMERICAN INVESTMENT TRUST PLC
BAF,BRITISH AND AMERICAN INVESTMENT TRUST,BRITISH AMERICAN TOBACCO PLC
BATS,BRITISH AMERICAN TOBACCO,BRITISH LAND COMPANY PLC
BLND,BRITISH LAND COMPANY,BRITISH SMALLER COMPANIES VCT2 PLC
BSV,BRITISH SMALLER COMPANIES VCT,BRITISH SMALLER COMPANIES VCT PLC
BSC,BRITISH SMALLER COMPANIES VCT2,BRITVIC PLC
BVIC,BRITVIC,BROOKS MACDONALD GROUP PLC
BRK,BROOKS MACDONALD GROUP,BROWN (N) GROUP PLC
BWNG,BROWN (N) GROUP,BRUNNER INVESTMENT TRUST PLC
44GL,BRUNNER INVESTMENT TRUST,B.S.D CROWN LTD
BUT,BRUNNER INVESTMENT TRUST,B.S.D CROWN LTD
BSFA,BSF ENTERPRISE,BSF ENTERPRISE PLC
BT.A,BT GROUP,BT GROUP PLC
BNZL,BUNZL,BUNZL PLC
BRBY,BURBERRY GROUP,BURBERRY GROUP PLC
BUR,BURFORD CAPITAL LIMITED,BURFORD CAPITAL LIMITED
BMN,BUSHVELD MINERALS LIMITED,BUSHVELD MINERALS LIMITED
BYOT,BYOTROL,BYOTROL PLC
CCR,CANDC GROUP,C4X DISCOVERY HOLDINGS PLC
C4XD,C4X DISCOVERY HOLDING,CABLEVISION HOLDING S.A.
CVH,CABLEVISION HOLDING,CADENCE MINERALS PLC
KDNC,CADENCE MINERALS,CADOGAN PETROLEUM PLC
CAD,CADOGAN PETROLEUM,CAFFYNS PLC
79GL,CAFFYNS,CAIRN ENERGY PLC
78GL,CAFFYNS,CAIRN ENERGY PLC
CFYN,CAFFYNS,CAIRN ENERGY PLC
CNE,CAIRN ENERGY,CAIRN HOMES PLC
CRN,CAIRN HOMES,CAKE BOX HOLDINGS PLC
CBOX,CAKE BOX HOLDING,CALCULUS VCT PLC
CLC,CALCULUS VCT,CALEDONIA INVESTMENTS PLC
CLDN,CALEDONIA INVESTMENTS,CALEDONIA MINING CORPORATION PLC
